stator_od,stack_length,airgap,turns_per_coil,magnet_rem,slot_pole_combo,Kv,Torque,Kt_theoretical,Bg,Weight_kg
43.0,26.5,0.98,93,1.2,9N6P,38.1,0.109,0.2622,0.96,0.18
58.6,33.9,0.81,25,1.17,24N22P,26.6,0.304,0.3298,0.94,0.43
46.2,42.3,0.83,33,1.3,24N20P,22.1,0.219,0.469,1.04,0.33
106.3,28.6,0.65,43,1.18,36N30P,7.6,1.63,1.3487,0.94,1.19
77.9,37.3,0.56,89,1.13,18N16P,7.4,0.973,1.2728,0.9,0.83
63.7,54.3,0.54,68,1.19,36N30P,3.9,0.739,2.4274,0.95,0.81
69.0,27.8,0.55,65,1.11,18N16P,14.5,0.374,0.6012,0.89,0.49
81.4,53.2,0.86,13,1.27,12N8P,45.3,1.604,0.2052,1.02,1.3
103.0,33.2,0.57,15,1.1,12N10P,55.2,1.842,0.1648,0.88,1.29
87.5,27.5,0.59,87,1.15,12N10P,13.3,1.148,0.7001,0.92,0.77
106.7,27.5,0.6,26,1.26,24N22P,17.3,2.055,0.5612,1.01,1.15
101.7,49.8,0.75,69,1.22,12N10P,7.7,2.633,1.2372,0.98,1.89
96.2,59.5,0.88,49,1.26,18N16P,6.5,2.521,1.5289,1.01,2.02
104.4,45.5,0.66,30,1.1,9N6P,27.1,2.589,0.3424,0.88,1.82
44.3,37.3,0.67,92,1.14,12N8P,19.7,0.201,0.4896,0.91,0.27
100.7,40.9,0.51,55,1.11,36N30P,4.4,2.786,2.2062,0.89,1.52
57.7,21.4,0.86,90,1.12,12N14P,25.6,0.194,0.3519,0.9,0.26
87.0,59.0,0.61,45,1.21,36N30P,3.7,2.64,2.4361,0.97,1.64
118.8,33.4,0.61,70,1.17,9N6P,14.1,2.865,0.7127,0.94,1.73
99.8,53.3,0.52,19,1.18,24N22P,13.8,2.432,0.6973,0.94,1.95
44.3,53.4,0.76,52,1.23,9N6P,29.5,0.297,0.3183,0.98,0.39
64.0,16.6,0.72,17,1.2,12N14P,143.9,0.28,0.0621,0.96,0.25
110.9,36.8,0.86,61,1.27,24N20P,5.4,2.983,1.8325,1.02,1.66
63.3,25.0,0.56,15,1.28,36N30P,36.4,0.336,0.2632,1.02,0.37
117.3,13.3,0.83,41,1.29,24N22P,20.9,1.573,0.4794,1.03,0.67
58.3,45.2,0.91,65,1.28,24N22P,8.3,0.577,1.2366,1.02,0.56
89.1,45.9,0.92,44,1.17,18N16P,10.3,2.179,0.9072,0.94,1.34
77.0,53.4,0.74,63,1.11,12N8P,11.2,1.617,0.828,0.89,1.16
76.5,48.9,0.52,90,1.16,18N16P,5.5,1.301,1.7033,0.93,1.05
65.9,27.3,0.8,88,1.19,18N16P,12.3,0.384,0.8067,0.95,0.44
108.4,53.1,0.63,77,1.11,12N8P,6.6,3.384,1.4352,0.89,2.29
95.9,32.2,0.94,61,1.18,12N8P,14.9,1.303,0.6396,0.94,1.09
98.3,34.8,0.83,14,1.3,24N20P,25.4,2.107,0.36,1.04,1.24
93.9,31.6,0.83,30,1.26,12N10P,30.8,1.806,0.3238,1.01,1.02
49.5,52.4,0.84,16,1.3,18N16P,38.4,0.313,0.2271,1.04,0.47
59.5,46.1,0.95,78,1.24,9N6P,16.1,0.493,0.5604,0.99,0.6
62.5,17.0,0.87,98,1.24,18N16P,17.1,0.23,0.5494,0.99,0.24
86.0,35.7,0.66,70,1.22,12N10P,12.4,1.294,0.7601,0.98,0.97
89.0,59.9,0.93,49,1.17,12N8P,12.3,1.992,0.8776,0.94,1.74
61.8,29.2,0.84,93,1.24,24N22P,8.0,0.383,1.1821,0.99,0.41
57.8,43.9,0.59,97,1.12,12N14P,12.0,0.409,0.7922,0.9,0.54
88.6,15.8,0.82,56,1.13,18N16P,25.4,0.563,0.3831,0.9,0.46
44.6,21.2,0.94,95,1.13,18N16P,22.2,0.081,0.4211,0.9,0.16
57.7,58.7,0.77,37,1.22,12N14P,21.1,0.779,0.4346,0.98,0.72
105.1,28.3,0.95,63,1.11,12N8P,15.6,1.753,0.6001,0.89,1.15
57.7,21.5,0.76,50,1.16,9N6P,60.2,0.239,0.1535,0.93,0.26
55.9,18.1,0.53,18,1.27,36N30P,46.5,0.225,0.1999,1.02,0.21
40.9,35.9,0.6,35,1.2,36N30P,16.8,0.146,0.5235,0.96,0.22
60.7,20.4,0.57,32,1.18,18N16P,45.7,0.197,0.2021,0.94,0.28
89.9,14.6,0.81,68,1.15,12N10P,28.8,0.694,0.2962,0.92,0.43
68.0,52.2,0.77,21,1.13,9N6P,51.7,1.008,0.1808,0.9,0.89
54.4,36.8,0.51,65,1.29,12N14P,20.6,0.38,0.4838,1.03,0.4
84.3,14.1,0.75,17,1.28,9N6P,159.1,0.457,0.056,1.02,0.37
101.7,23.3,0.93,83,1.19,24N20P,7.1,1.302,1.3501,0.95,0.89
40.1,54.0,0.8,20,1.2,9N6P,81.0,0.22,0.1082,0.96,0.32
85.7,35.8,0.99,40,1.21,36N30P,7.3,1.226,1.2743,0.97,0.97
44.4,58.1,0.82,29,1.12,12N14P,39.7,0.273,0.2339,0.9,0.42
45.2,38.2,0.68,87,1.21,12N14P,18.6,0.203,0.5136,0.97,0.29
86.8,51.5,0.92,62,1.23,24N20P,4.6,1.885,1.9566,0.98,1.43
64.4,31.7,0.52,79,1.19,24N22P,8.5,0.444,1.1112,0.95,0.48
48.0,20.7,0.67,79,1.15,24N22P,17.5,0.118,0.5121,0.92,0.18
109.4,29.8,0.9,96,1.28,12N10P,8.5,2.109,1.1591,1.02,1.31
42.8,41.5,0.7,37,1.11,12N8P,48.7,0.14,0.2052,0.89,0.28
69.3,56.0,0.9,98,1.12,12N10P,8.1,0.856,1.2123,0.9,0.99
74.9,49.8,0.73,11,1.25,18N16P,42.6,1.433,0.2214,1.0,1.03
40.2,19.5,0.79,52,1.1,18N16P,49.3,0.051,0.187,0.88,0.12
75.3,59.9,0.64,98,1.27,18N16P,4.0,1.888,2.4341,1.02,1.25
70.5,49.2,0.74,48,1.21,24N22P,8.4,0.812,1.1567,0.97,0.9
55.5,56.3,0.6,86,1.18,24N22P,5.2,0.447,1.8187,0.94,0.64
81.5,10.9,0.9,16,1.15,24N22P,107.4,0.292,0.0937,0.92,0.27
118.8,29.5,0.71,97,1.16,24N22P,4.1,3.464,2.2995,0.93,1.53
47.4,29.8,0.99,21,1.24,24N20P,43.6,0.207,0.2036,0.99,0.25
81.7,18.7,0.82,66,1.13,36N30P,9.5,0.604,0.9829,0.9,0.46
80.3,38.0,0.7,76,1.14,9N6P,16.9,0.956,0.5727,0.91,0.9
115.2,41.1,0.94,30,1.26,36N30P,6.6,4.457,1.5539,1.01,2.0
78.7,36.1,0.94,62,1.1,12N14P,17.0,0.935,0.5535,0.88,0.82
116.0,50.0,0.53,56,1.12,24N22P,4.0,4.662,2.1315,0.9,2.47
74.4,47.0,0.95,51,1.28,12N14P,14.7,1.096,0.6502,1.02,0.96
82.7,46.1,0.88,32,1.19,18N16P,14.8,1.771,0.6249,0.95,1.16
64.1,50.6,0.89,98,1.13,12N10P,10.2,0.82,1.0191,0.9,0.76
63.9,31.8,0.95,33,1.12,12N10P,44.9,0.396,0.2124,0.9,0.48
73.0,50.6,0.91,64,1.3,12N8P,10.6,1.333,0.8763,1.04,0.99
41.8,33.5,0.84,56,1.13,12N14P,35.6,0.145,0.246,0.9,0.22
74.1,56.2,0.6,13,1.2,12N14P,50.1,1.182,0.1881,0.96,1.13
90.0,35.1,0.56,60,1.28,12N10P,12.8,1.75,0.7068,1.02,1.05
82.8,53.2,0.87,10,1.11,12N10P,64.5,1.961,0.1404,0.89,1.34
102.9,56.1,0.66,40,1.27,24N22P,5.7,4.389,1.7075,1.02,2.18
85.9,40.3,0.65,87,1.18,24N22P,4.6,1.36,2.0612,0.94,1.09
49.3,18.5,0.59,50,1.18,12N14P,64.2,0.13,0.1537,0.94,0.17
98.8,22.1,0.52,25,1.23,18N16P,30.6,1.168,0.2944,0.98,0.79
102.2,16.1,0.51,51,1.25,9N6P,39.4,0.761,0.2302,1.0,0.62
100.1,40.4,0.9,46,1.18,24N20P,7.2,2.335,1.2669,0.94,1.49
100.2,54.9,0.84,36,1.14,24N22P,7.6,3.19,1.3057,0.91,2.03
82.4,49.6,0.86,27,1.12,12N10P,29.6,1.605,0.3549,0.9,1.24
67.4,50.9,0.79,26,1.22,18N16P,21.3,0.741,0.4666,0.98,0.85
52.5,33.5,0.92,63,1.3,12N14P,23.8,0.299,0.4035,1.04,0.34
87.1,26.7,0.94,32,1.15,12N14P,40.6,1.026,0.2454,0.92,0.74
45.0,23.1,0.96,37,1.29,12N10P,72.7,0.101,0.1371,1.03,0.17
63.5,50.4,0.73,82,1.17,12N14P,9.6,0.664,0.8784,0.94,0.75
106.6,35.5,0.54,97,1.16,9N6P,10.7,2.2,0.934,0.93,1.48
66.6,34.1,0.9,55,1.22,9N6P,31.5,0.532,0.3247,0.98,0.56
85.5,35.7,0.76,35,1.22,36N30P,8.1,1.179,1.1288,0.98,0.96
86.1,40.7,0.63,68,1.2,36N30P,3.8,1.644,2.4898,0.96,1.11
92.4,14.5,0.72,65,1.14,36N30P,9.9,0.687,0.863,0.91,0.46
47.5,44.2,0.86,65,1.25,12N8P,20.6,0.245,0.4769,1.0,0.37
93.4,18.8,0.76,49,1.12,12N8P,34.6,0.679,0.2789,0.9,0.6
90.4,46.1,0.55,35,1.12,9N6P,29.2,1.534,0.3571,0.9,1.38
91.9,20.5,1.0,87,1.28,12N8P,15.9,0.869,0.6015,1.02,0.64
54.5,21.5,0.85,77,1.19,12N10P,28.9,0.211,0.3028,0.95,0.23
45.2,11.2,0.99,43,1.16,24N22P,72.2,0.059,0.1393,0.93,0.08
47.4,41.9,0.84,93,1.24,24N22P,7.6,0.227,1.2822,0.99,0.35
80.6,25.9,0.69,14,1.24,24N20P,42.8,0.662,0.2095,0.99,0.62
80.6,24.2,0.99,35,1.16,12N8P,40.3,0.787,0.2259,0.93,0.58
98.8,25.3,0.74,70,1.24,9N6P,21.5,1.711,0.472,0.99,0.91
75.8,29.4,0.57,61,1.16,24N22P,10.5,0.782,0.9147,0.93,0.62
50.7,53.2,0.57,99,1.28,12N8P,10.3,0.366,0.9787,1.02,0.5
42.6,48.1,0.78,24,1.14,9N6P,85.9,0.163,0.1175,0.91,0.32
68.5,36.3,0.93,37,1.28,24N22P,15.7,0.61,0.669,1.02,0.63
106.5,50.1,0.95,60,1.19,24N20P,4.5,3.453,2.1993,0.95,2.09
99.8,12.0,0.89,15,1.22,12N10P,156.0,0.738,0.0633,0.98,0.44
88.8,17.0,0.69,87,1.29,12N8P,19.5,0.903,0.491,1.03,0.49
65.2,41.2,0.6,75,1.28,12N10P,13.1,0.79,0.7436,1.02,0.64
43.1,27.8,0.87,11,1.2,36N30P,67.7,0.103,0.1317,0.96,0.19
41.3,52.1,0.95,83,1.17,12N14P,17.4,0.177,0.574,0.94,0.33
102.0,34.9,0.57,11,1.27,12N8P,67.4,2.111,0.1452,1.02,1.33
98.0,44.2,0.69,46,1.26,12N8P,12.9,2.822,0.7294,1.01,1.56
91.3,37.3,0.55,27,1.26,12N10P,31.0,1.242,0.3377,1.01,1.14
83.6,20.8,0.91,79,1.16,12N10P,20.1,0.727,0.4569,0.93,0.53
99.5,30.4,0.91,72,1.24,12N8P,12.4,1.564,0.7789,0.99,1.11
85.9,16.1,0.57,79,1.13,36N30P,9.3,0.572,1.0775,0.9,0.44
83.2,49.5,0.68,49,1.28,36N30P,4.6,1.655,2.2425,1.02,1.26
106.9,43.8,0.54,90,1.2,12N8P,6.8,2.98,1.479,0.96,1.84
43.9,13.4,0.57,19,1.1,36N30P,87.3,0.051,0.105,0.88,0.09
48.4,52.8,0.7,38,1.26,12N14P,25.7,0.316,0.3465,1.01,0.45
43.0,57.4,0.89,89,1.25,12N8P,13.6,0.27,0.7605,1.0,0.39
93.2,59.0,0.89,54,1.28,12N10P,8.7,2.335,1.0947,1.02,1.88
64.6,17.6,0.57,89,1.26,12N10P,25.5,0.297,0.3681,1.01,0.27
65.5,38.5,0.72,45,1.2,18N16P,16.4,0.534,0.5854,0.96,0.61
87.1,21.2,0.65,36,1.27,9N6P,57.6,1.042,0.1837,1.02,0.59
117.6,44.8,0.86,59,1.12,36N30P,3.2,4.16,3.0314,0.9,2.28
86.2,32.2,0.72,98,1.16,12N10P,10.9,0.883,0.9126,0.93,0.88
95.4,41.9,0.89,15,1.13,24N20P,24.3,2.299,0.3906,0.9,1.4
78.3,13.8,0.55,47,1.22,9N6P,69.8,0.451,0.135,0.98,0.31
96.5,29.9,0.71,81,1.26,12N8P,12.1,1.654,0.8546,1.01,1.02
91.6,43.9,0.89,72,1.15,12N14P,10.8,1.977,0.9585,0.92,1.35
60.8,15.4,0.8,48,1.27,9N6P,78.1,0.182,0.1218,1.02,0.21
68.4,15.5,0.95,47,1.28,24N20P,24.9,0.369,0.3619,1.02,0.27
41.3,39.3,0.63,83,1.1,36N30P,7.1,0.115,1.2553,0.88,0.25
70.6,54.5,0.73,14,1.26,12N10P,49.6,1.096,0.195,1.01,1.0
95.4,47.0,0.81,76,1.11,24N22P,3.8,2.165,2.1869,0.89,1.57
44.8,39.1,0.92,66,1.3,18N16P,15.9,0.214,0.6248,1.04,0.29
88.6,45.0,0.69,87,1.2,12N14P,7.6,1.662,1.2062,0.96,1.3
50.0,37.9,0.8,77,1.12,12N14P,20.1,0.313,0.4603,0.9,0.35
51.3,59.3,0.98,21,1.18,24N20P,22.3,0.457,0.42,0.94,0.57
93.5,32.5,0.63,98,1.13,12N14P,9.8,1.085,0.9786,0.9,1.04
65.3,21.3,0.71,91,1.21,18N16P,13.9,0.391,0.6587,0.97,0.33
53.5,18.5,0.84,69,1.28,24N20P,18.9,0.165,0.4929,1.02,0.19
96.5,23.5,0.88,59,1.23,18N16P,12.7,1.189,0.7121,0.98,0.8
64.4,19.5,0.96,18,1.11,24N20P,68.0,0.274,0.1419,0.89,0.3
63.2,11.2,0.96,71,1.27,9N6P,69.8,0.197,0.1352,1.02,0.16
56.0,24.5,0.65,84,1.16,12N10P,26.4,0.202,0.3823,0.93,0.28
118.5,59.4,0.75,47,1.19,12N8P,8.1,6.378,1.1465,0.95,3.07
76.4,47.6,0.51,10,1.15,24N22P,38.8,1.173,0.2433,0.92,1.02
113.7,45.4,0.82,29,1.21,18N16P,12.4,3.111,0.7889,0.97,2.16
101.1,41.8,0.56,52,1.28,24N20P,5.2,2.599,1.6427,1.02,1.57
86.7,39.4,0.65,23,1.1,24N22P,18.2,1.174,0.5014,0.88,1.09
103.6,59.6,0.96,26,1.24,24N22P,8.1,3.966,1.1479,0.99,2.35
87.6,58.9,0.84,43,1.16,36N30P,4.4,2.526,2.2235,0.93,1.66
99.0,43.3,0.57,10,1.27,18N16P,40.2,2.739,0.2383,1.02,1.56
46.4,37.3,0.92,92,1.12,18N16P,13.9,0.157,0.7432,0.9,0.3
59.5,42.0,0.6,70,1.28,24N20P,7.2,0.642,1.2875,1.02,0.55
66.4,27.8,0.73,72,1.2,36N30P,6.3,0.513,1.3712,0.96,0.45
114.5,15.5,0.63,78,1.14,12N8P,19.8,1.102,0.4609,0.91,0.75
42.9,52.2,0.79,98,1.25,36N30P,4.2,0.193,2.298,1.0,0.35
88.3,49.8,0.93,32,1.3,18N16P,11.4,2.386,0.7877,1.04,1.43
96.8,46.8,0.72,15,1.16,12N10P,41.9,2.4,0.2287,0.93,1.61
67.5,26.9,0.95,42,1.11,12N10P,39.7,0.514,0.24,0.89,0.45
52.7,41.3,0.62,70,1.12,24N22P,10.2,0.256,0.9755,0.9,0.42
74.5,32.5,0.56,16,1.25,12N10P,67.1,0.754,0.1405,1.0,0.66
59.2,59.1,0.98,34,1.18,9N6P,30.4,0.715,0.2959,0.94,0.76
57.5,39.7,0.85,40,1.15,12N8P,32.9,0.497,0.297,0.92,0.48
104.3,29.2,0.97,94,1.13,12N8P,9.6,1.567,0.9326,0.9,1.17
54.9,32.8,0.6,34,1.12,24N22P,25.9,0.287,0.3931,0.9,0.36
42.6,54.4,0.64,50,1.24,12N10P,22.3,0.205,0.406,0.99,0.36
48.0,54.4,0.94,89,1.17,18N16P,8.3,0.354,1.1341,0.94,0.46
95.5,20.7,0.85,65,1.27,24N20P,9.7,1.044,0.9422,1.02,0.69
51.2,16.3,1.0,34,1.22,18N16P,64.9,0.099,0.1444,0.98,0.16
45.2,56.0,0.75,74,1.19,12N14P,15.4,0.357,0.6264,0.95,0.42
65.6,14.3,0.55,26,1.27,24N20P,51.4,0.23,0.1792,1.02,0.23
69.8,24.4,0.88,60,1.18,12N8P,29.2,0.523,0.3436,0.94,0.44
73.8,39.3,0.59,57,1.25,36N30P,5.3,0.983,1.7952,1.0,0.79
46.9,34.8,0.91,13,1.22,12N8P,131.0,0.152,0.072,0.98,0.28
53.1,20.0,0.69,76,1.24,24N20P,16.5,0.189,0.5697,0.99,0.21
63.8,34.6,0.76,58,1.15,9N6P,30.5,0.381,0.3155,0.92,0.52
108.9,12.6,0.68,69,1.21,24N20P,14.6,1.086,0.6674,0.97,0.55
51.0,47.5,0.71,70,1.16,12N8P,16.4,0.269,0.558,0.93,0.45
51.6,32.4,0.75,20,1.23,12N8P,78.2,0.282,0.1164,0.98,0.32
40.4,43.8,0.69,74,1.26,12N14P,21.2,0.2,0.4629,1.01,0.26
64.5,58.7,0.92,37,1.28,12N14P,19.5,0.938,0.5081,1.02,0.9
102.4,57.6,0.81,48,1.1,9N6P,15.5,3.13,0.6765,0.88,2.22
66.7,45.8,0.78,68,1.27,24N22P,6.2,0.685,1.5085,1.02,0.75
114.6,54.2,0.65,77,1.28,12N8P,5.5,5.746,1.7868,1.02,2.62
41.1,20.1,0.53,83,1.29,36N30P,11.7,0.1,0.7555,1.03,0.12
106.9,44.9,0.89,81,1.23,12N10P,6.8,3.52,1.3832,0.98,1.89
52.8,55.7,0.71,94,1.16,12N10P,9.3,0.542,0.9113,0.93,0.57
73.8,55.9,0.75,57,1.14,24N20P,6.3,1.143,1.541,0.91,1.12
105.7,36.1,0.72,16,1.29,36N30P,14.1,2.747,0.6869,1.03,1.48
47.9,10.6,0.84,12,1.2,24N22P,243.0,0.066,0.041,0.96,0.09
89.3,43.8,0.59,17,1.19,24N20P,21.1,2.301,0.4604,0.95,1.28
111.7,42.7,0.78,10,1.19,12N14P,58.4,2.632,0.1649,0.95,1.96
67.0,18.2,0.72,36,1.12,12N10P,64.9,0.292,0.141,0.9,0.3
107.0,16.7,0.67,14,1.19,12N8P,115.2,1.003,0.0867,0.95,0.7
110.8,57.9,0.96,35,1.1,12N14P,13.3,3.983,0.7136,0.88,2.61
91.4,24.6,0.54,13,1.18,24N20P,43.3,1.223,0.2012,0.94,0.76
95.2,19.8,0.75,15,1.3,24N20P,46.7,1.216,0.213,1.04,0.66
91.3,27.1,0.99,74,1.16,9N6P,19.9,1.422,0.4568,0.93,0.83
49.3,19.6,0.91,62,1.14,24N22P,24.5,0.124,0.3814,0.91,0.18
45.4,40.9,0.83,30,1.11,12N8P,60.5,0.205,0.1727,0.89,0.31
90.2,38.0,0.77,86,1.1,12N10P,9.8,1.255,0.9372,0.88,1.14
103.4,59.0,0.63,62,1.21,9N6P,10.3,3.614,1.0004,0.97,2.32
51.4,16.8,0.99,73,1.19,9N6P,56.8,0.109,0.1566,0.95,0.16
70.1,55.8,0.58,54,1.29,24N20P,7.2,1.324,1.5765,1.03,1.01
72.0,43.6,0.55,30,1.29,9N6P,35.8,0.863,0.2642,1.03,0.83
74.0,25.2,0.77,95,1.15,18N16P,10.7,0.615,0.8776,0.92,0.51
95.1,13.5,0.7,11,1.19,24N20P,95.5,0.752,0.0975,0.95,0.45
113.5,25.1,0.7,33,1.25,12N10P,29.9,1.795,0.3424,1.0,1.19
41.3,17.7,0.61,36,1.25,24N22P,47.4,0.084,0.1861,1.0,0.11
66.7,22.4,0.99,91,1.22,18N16P,13.4,0.401,0.7036,0.98,0.37
98.6,49.7,0.72,66,1.23,12N14P,7.6,3.412,1.1547,0.98,1.78
101.7,44.2,0.52,43,1.2,24N20P,6.8,2.094,1.3566,0.96,1.68
46.9,53.8,0.61,96,1.27,12N14P,10.7,0.34,0.8755,1.02,0.43
92.7,53.0,0.86,30,1.14,36N30P,6.7,1.877,1.4533,0.91,1.67
118.6,42.7,0.81,84,1.23,12N14P,6.4,4.34,1.5212,0.98,2.21
112.7,18.3,0.76,65,1.2,24N22P,10.7,1.434,0.9356,0.96,0.85
66.5,27.9,0.71,62,1.18,12N14P,25.6,0.386,0.3894,0.94,0.45
117.0,42.2,0.57,50,1.24,12N8P,11.3,3.507,0.8959,0.99,2.12
76.2,56.6,0.96,88,1.21,18N16P,4.8,1.639,1.9633,0.97,1.21
64.7,45.3,0.52,12,1.15,12N8P,82.0,0.794,0.1171,0.92,0.7
49.1,47.1,0.7,31,1.27,12N14P,36.5,0.268,0.258,1.02,0.42
43.5,25.7,0.99,20,1.26,12N8P,120.1,0.13,0.0775,1.01,0.18
51.1,40.3,0.95,26,1.26,12N10P,46.6,0.309,0.1883,1.01,0.39
85.1,37.2,0.81,30,1.13,9N6P,43.0,1.324,0.2319,0.9,0.99
69.2,35.4,0.5,94,1.28,24N22P,5.5,0.808,1.7115,1.02,0.62
49.3,43.2,0.69,57,1.22,9N6P,29.1,0.32,0.315,0.98,0.39
111.7,57.9,0.71,93,1.2,12N14P,4.6,4.795,2.1017,0.96,2.66
110.3,13.9,0.6,77,1.11,24N20P,12.1,1.031,0.7655,0.89,0.62
76.2,27.9,0.63,98,1.18,18N16P,8.6,0.618,1.0668,0.94,0.6
84.8,34.0,0.78,16,1.11,9N6P,91.7,1.214,0.1107,0.89,0.9
82.3,16.9,0.92,35,1.24,24N20P,27.7,0.621,0.3458,0.99,0.42
105.2,47.2,0.86,36,1.11,18N16P,9.8,2.599,0.8613,0.89,1.92
82.8,37.6,0.56,12,1.26,24N22P,36.5,0.971,0.2738,1.01,0.95
84.4,58.7,0.94,16,1.25,12N10P,36.7,1.746,0.2838,1.0,1.54
98.4,55.8,0.71,32,1.28,24N20P,7.3,3.57,1.3059,1.02,1.99
110.1,27.0,0.75,29,1.16,24N22P,17.7,1.671,0.5815,0.93,1.2
80.5,22.5,0.56,75,1.23,36N30P,7.0,0.618,1.4567,0.98,0.54
50.6,44.7,0.75,91,1.16,9N6P,17.6,0.262,0.5064,0.93,0.42
71.8,53.2,0.69,52,1.15,12N10P,14.3,1.147,0.6578,0.92,1.01
106.8,23.7,1.0,50,1.25,12N14P,19.9,2.132,0.4559,1.0,0.99
106.6,16.4,0.55,63,1.23,9N6P,31.5,1.397,0.2971,0.98,0.69
87.9,13.6,0.94,85,1.25,12N14P,27.1,0.446,0.3644,1.0,0.39
107.2,12.3,0.74,42,1.28,12N14P,43.9,0.841,0.206,1.02,0.52
113.7,10.1,0.99,52,1.3,24N20P,22.5,0.773,0.4485,1.04,0.48
113.3,32.8,0.61,14,1.25,36N30P,16.3,3.171,0.57,1.0,1.55
41.0,23.7,0.59,71,1.14,12N14P,45.6,0.066,0.2228,0.91,0.15
62.9,37.9,0.83,99,1.28,9N6P,13.3,0.443,0.6444,1.02,0.55
91.5,10.9,0.71,68,1.12,12N10P,41.9,0.483,0.2201,0.9,0.34
97.3,35.5,0.86,36,1.29,12N8P,18.7,1.75,0.4632,1.03,1.24
84.3,39.7,0.73,36,1.27,24N22P,10.8,1.498,0.8841,1.02,1.04
46.7,59.9,0.78,90,1.18,12N14P,12.2,0.292,0.8346,0.94,0.48
78.6,21.2,0.62,47,1.19,9N6P,46.5,0.625,0.2025,0.95,0.48
77.0,37.8,0.65,67,1.13,12N10P,16.7,1.006,0.6371,0.9,0.82
52.4,12.9,0.74,41,1.11,18N16P,76.3,0.101,0.1308,0.89,0.13
89.4,23.8,0.78,36,1.24,9N6P,42.1,0.768,0.2058,0.99,0.7
70.3,12.3,0.62,55,1.16,12N10P,62.6,0.202,0.1593,0.93,0.22
50.4,10.3,0.54,66,1.2,12N8P,83.8,0.081,0.1179,0.96,0.1
73.2,57.5,0.61,12,1.22,12N10P,51.1,1.241,0.1782,0.98,1.13
82.7,48.5,0.51,68,1.29,12N10P,8.1,2.037,1.0252,1.03,1.22
47.3,45.0,0.89,38,1.26,36N30P,10.6,0.304,0.8525,1.01,0.37
74.6,56.9,0.87,36,1.23,12N10P,17.3,1.554,0.5374,0.98,1.16
83.1,34.2,0.96,62,1.21,12N8P,14.7,1.113,0.6099,0.97,0.87
68.0,16.4,0.94,12,1.26,18N16P,126.1,0.247,0.0718,1.01,0.28
86.6,44.8,0.57,96,1.23,12N14P,6.7,1.732,1.333,0.98,1.23
55.0,53.5,0.69,68,1.11,36N30P,4.9,0.474,1.8993,0.89,0.59
90.6,48.8,0.9,16,1.16,24N22P,21.2,1.547,0.4721,0.93,1.47
63.0,41.3,0.68,28,1.19,9N6P,51.9,0.624,0.1865,0.95,0.6
113.5,46.5,0.97,86,1.25,12N8P,6.4,4.05,1.6398,1.0,2.2
86.2,27.9,0.92,29,1.19,24N20P,19.5,1.105,0.4762,0.95,0.76
107.5,33.3,0.89,99,1.13,24N22P,4.2,1.943,2.317,0.9,1.41
65.9,50.8,0.76,26,1.21,12N8P,33.3,0.691,0.3013,0.97,0.81
50.3,52.8,0.76,53,1.22,9N6P,25.5,0.355,0.3639,0.98,0.49
69.5,16.7,1.0,49,1.24,12N10P,48.8,0.305,0.1997,0.99,0.3
106.6,12.4,0.57,42,1.23,12N10P,48.0,1.001,0.1995,0.98,0.52
100.1,21.7,0.62,94,1.1,24N20P,7.2,1.435,1.3088,0.88,0.8
42.8,21.5,0.74,83,1.16,24N20P,20.0,0.089,0.4968,0.93,0.14
66.2,39.7,0.83,21,1.26,12N8P,45.8,0.578,0.1982,1.01,0.64
68.2,42.9,0.69,76,1.11,36N30P,4.6,0.632,2.1285,0.89,0.73
88.7,20.1,0.98,75,1.29,12N8P,20.6,0.943,0.4943,1.03,0.58
112.7,55.2,0.92,50,1.13,18N16P,6.0,3.952,1.5258,0.9,2.58
113.0,26.1,0.74,93,1.26,24N22P,4.9,2.733,2.0114,1.01,1.22
79.8,52.5,0.61,13,1.24,24N20P,24.4,1.411,0.3916,0.99,1.23
55.9,31.4,0.99,81,1.14,18N16P,14.3,0.296,0.6806,0.91,0.36
99.3,21.4,0.67,80,1.26,12N8P,15.9,1.012,0.6229,1.01,0.78
114.7,55.2,0.77,57,1.27,18N16P,5.0,4.621,1.9995,1.02,2.67
92.8,44.9,0.93,43,1.14,36N30P,5.5,1.549,1.762,0.91,1.42
95.2,43.9,0.88,92,1.14,9N6P,10.4,1.912,0.9479,0.91,1.46
111.1,16.6,0.5,19,1.29,24N22P,34.4,1.502,0.2649,1.03,0.75
74.3,32.4,0.7,83,1.12,18N16P,8.8,0.727,0.9673,0.9,0.66
84.5,10.8,0.85,28,1.2,12N8P,106.9,0.35,0.0882,0.96,0.28
55.4,17.1,0.92,25,1.28,12N10P,115.8,0.149,0.0852,1.02,0.19
78.4,51.0,0.65,28,1.28,24N20P,11.0,1.875,0.8291,1.02,1.15
70.2,25.8,0.7,59,1.14,9N6P,36.7,0.395,0.2628,0.91,0.47
69.1,37.4,0.89,11,1.15,24N20P,50.0,0.603,0.1862,0.92,0.66
40.6,49.9,0.68,51,1.25,12N8P,27.1,0.161,0.3628,1.0,0.3
48.6,12.6,0.76,24,1.26,12N14P,180.1,0.1,0.0522,1.01,0.11
91.1,49.2,0.55,17,1.28,12N8P,31.5,2.389,0.2843,1.02,1.5
88.1,13.6,0.88,98,1.12,36N30P,7.6,0.583,1.1346,0.9,0.39
99.8,56.2,0.56,32,1.29,18N16P,8.7,3.983,1.0139,1.03,2.06
