id,stator_od_mm,stator_id_mm,stack_length_mm,slots,poles,turns_per_slot,airgap_mm,ref_voltage_v,kv_rpm_v,kt_nm_a,rated_torque_nm,rated_current_a,resistance_ohm,efficiency_est,mass_est_kg
1133,90.07,54.09,98.72,36,24,69,0.953,24,2.8588672456401847,3.2889,5.7245219855743645,1.82,9.6,0.1059,18.818
1134,34.24,20.69,14.21,24,22,71,0.92,12,83.95101575882214,0.1148,0.048959228261315726,0.41,4.8782,0.125,0.389
1135,35.77,20.73,21.1,12,10,77,0.758,12,104.13975207481114,0.0917,0.03860620246265943,0.44,3.9737,0.1664,0.659
1136,68.47,43.44,100.35,36,30,24,0.769,24,9.846392631502647,0.9662,2.1813267960900267,2.37,2.5772,0.237,10.33
1137,53.54,36.1,71.89,12,10,63,0.551,12,19.075856482683715,0.5055,0.35683978786308324,0.72,5.8655,0.2726,4.13
1138,114.26,76.11,152.33,24,20,62,0.645,48,2.3764770306016483,4.0514,11.978630356706974,2.99,5.5145,0.3097,40.667
1139,90.79,65.85,76.92,36,24,40,0.541,24,5.2736505962424705,1.8334,3.2404439373643794,1.82,4.4724,0.2914,11.043
1140,94.55,56.77,95.59,36,24,46,0.64,24,3.8093047849567125,2.4908,7.530885001872956,3.09,3.67,0.234,20.088
1141,40.97,22.75,57.75,18,16,52,0.88,12,33.49605865878236,0.2814,0.19587580846584005,0.68,5.7666,0.1828,2.465
1142,147.45,100.77,95.37,24,22,15,0.351,48,9.42203359919047,0.9997,21.508396735428743,21.39,0.1265,0.469,40.621
1143,80.57,48.22,107.78,12,14,19,0.843,24,28.968858080605447,0.3312,2.8631824934829333,8.56,0.2212,0.3144,16.507
1144,92.93,48.23,20.89,36,30,46,0.563,24,23.315662474897703,0.4103,1.1648149116671227,2.82,1.0302,0.1897,4.845
1145,63.46,35.1,86.01,12,14,43,0.427,24,22.62680692364483,0.4284,1.761877984794262,4.28,0.7908,0.3445,8.834
1146,98.56,64.0,143.53,24,20,32,0.995,24,4.763071672161811,1.9898,8.294096003323256,4.38,1.8162,0.3243,29.638
1147,33.17,23.5,41.35,18,12,9,0.764,12,243.12674746380623,0.0395,0.06670396100177707,1.61,0.3136,0.1098,0.833
1148,129.35,93.35,159.06,9,6,74,0.914,48,3.5537237904548666,2.7664,14.80811228426721,5.15,1.7352,0.5505,46.869
1149,141.03,98.71,95.24,36,24,25,0.674,48,4.786391224543369,1.9946,12.689330840395936,6.17,1.0393,0.407,35.52
1150,101.33,59.79,37.36,9,6,44,0.346,48,43.293451978777505,0.2164,2.0144916178219168,9.18,0.184,0.5592,9.19
1151,71.33,47.47,90.06,12,10,64,0.536,24,10.402227076519166,0.9114,1.8713660822845364,2.06,2.6421,0.4117,9.382
1152,77.88,50.35,51.27,12,10,37,0.614,24,32.93914572357587,0.2889,1.2028318604000094,4.27,0.4738,0.4065,6.652
1153,146.75,95.38,84.9,18,12,55,0.418,48,5.03668774302219,1.9237,17.505538922441385,9.11,0.7723,0.5307,38.816
1154,30.45,16.72,25.24,24,20,77,0.876,12,49.420390074884686,0.1932,0.04427983068516922,0.22,15.7997,0.1096,0.601
1155,135.11,92.09,108.03,18,16,32,0.361,48,6.498542365456865,1.4991,13.059291068486885,8.66,0.5726,0.4677,38.811
1156,108.88,78.8,68.55,9,6,40,0.329,48,16.198102673636388,0.5824,2.8427142906541847,4.87,0.5113,0.5851,14.221
1157,97.07,65.28,75.83,12,10,35,0.917,24,18.905502467824597,0.5122,3.0838458983115142,5.88,0.4665,0.4667,14.386
1158,112.81,75.14,68.55,24,20,28,0.623,48,9.956983199285139,0.9538,7.494652595324617,7.85,0.4649,0.4327,17.842
1159,57.61,31.75,17.65,36,24,25,0.583,12,73.37242044695239,0.1295,0.17017830865865305,1.38,0.9274,0.1243,1.499
1160,140.56,99.44,113.64,24,22,20,0.786,48,7.544064813031332,1.2981,16.310065064027174,12.71,0.3297,0.4233,41.231
1161,143.83,80.89,62.91,36,30,59,0.478,48,3.4596906899928928,2.8235,11.643664366680929,4.08,2.5119,0.3341,32.708
1162,89.77,60.52,66.06,12,8,77,0.413,24,10.702994850827212,0.9138,2.646924227440472,3.04,1.7552,0.4736,10.675
1163,146.43,104.91,113.91,9,6,57,0.981,48,6.594045879239627,1.4692,10.812516283600969,7.62,0.7227,0.6126,43.692
1164,129.94,82.27,161.61,9,6,62,0.444,48,4.791169437898358,1.9923,16.402911830742653,8.01,0.9248,0.5868,60.09
1165,36.35,19.88,35.66,24,20,33,0.732,12,71.41806672171107,0.1315,0.10469129382094168,0.81,2.5599,0.1189,1.214
1166,105.66,78.32,99.63,36,30,60,0.428,48,2.2421979762861985,4.4306,4.900346721302435,1.12,14.0135,0.2872,18.42
1167,146.37,105.97,104.52,18,12,32,0.477,48,6.01754084486174,1.6168,15.844000956541025,9.52,0.5188,0.5674,39.167
1168,46.54,28.39,29.29,24,22,57,0.948,12,30.844729054591014,0.3056,0.17884665251212856,0.59,5.2683,0.1926,1.464
1169,101.44,64.67,103.6,18,16,6,0.841,48,48.90614890182258,0.1976,8.772666346927872,44.49,0.0192,0.3271,23.256
1170,92.79,49.55,124.12,24,20,34,0.454,24,7.699875360637802,1.2337,6.574924743931371,5.38,1.3487,0.2998,28.079
1171,143.09,73.06,37.77,18,16,66,0.571,48,10.616737543200685,0.8932,6.544711526751983,7.47,0.5737,0.4364,21.015
1172,37.5,23.82,23.3,36,30,30,0.61,12,70.74957793333047,0.1333,0.0667660296035751,0.49,3.8758,0.0801,0.719
1173,60.3,43.42,29.77,12,14,56,0.842,24,43.82770956579925,0.218,0.2506808421584792,1.12,1.7803,0.2551,1.916
1174,96.04,65.67,83.28,24,22,74,0.743,24,3.5812627068342637,2.6512,4.153783319135584,1.61,6.9546,0.2347,15.034
1175,113.05,75.24,155.32,36,30,17,0.8,48,5.1095104953159645,1.8498,17.396041570296784,9.84,0.6835,0.3744,40.649
1176,142.64,98.23,111.33,12,8,80,0.739,48,3.3564189796221093,2.8501,10.461594558676174,3.74,2.476,0.5069,43.765
1177,147.59,98.28,189.59,12,8,54,0.844,48,3.0768584566210397,3.1105,39.263999379866654,12.66,0.7629,0.5267,84.49
1178,117.61,80.11,152.91,12,14,8,0.452,48,33.5067996823726,0.2832,9.00819888964822,32.12,0.036,0.3134,41.678
1179,58.6,33.48,25.58,18,16,53,0.399,12,47.85955115854112,0.2019,0.3938478633408689,1.9,1.1078,0.2704,2.175
1180,42.56,23.22,32.91,36,30,27,0.429,12,49.13149483935226,0.1936,0.14544423034199377,0.72,3.2074,0.1044,1.539
1181,98.81,61.76,26.43,9,6,52,0.594,24,51.97996726371685,0.186,0.7084233290629927,3.96,0.4244,0.4476,5.778
1182,50.38,31.89,58.08,9,6,42,0.608,12,55.65480478363884,0.174,0.31819284929875674,1.87,0.9788,0.4275,3.248
1183,51.76,36.86,52.92,18,16,58,0.405,12,17.921794484359822,0.5345,0.5416430021370332,1.05,4.0588,0.2845,2.57
1184,89.21,55.26,29.72,24,22,10,0.671,24,93.86537295153991,0.1011,1.3229773832277683,13.6,0.046,0.194,5.358
1185,56.11,35.19,35.87,9,6,13,0.747,12,259.7919266550751,0.0362,0.2600989613997352,7.06,0.0571,0.3008,2.518
1186,150.0,98.45,56.26,12,10,35,0.58,48,16.87104360432735,0.5655,7.306548350418711,13.24,0.1886,0.5643,26.484
1187,128.72,86.07,69.29,18,16,79,0.548,48,4.117145239718114,2.2899,9.473407517588784,4.15,2.0269,0.492,23.328
1188,44.9,32.19,54.09,18,12,43,0.846,12,27.755743202071756,0.3405,0.3380573766481922,0.98,3.2594,0.3472,1.948
1189,72.39,46.09,57.91,36,24,54,0.371,24,7.304307331776841,1.3224,1.2935155375246756,0.94,8.7008,0.2301,6.635
1190,90.64,64.7,104.26,24,22,61,0.425,24,3.7228567968084625,2.6153,4.458241522087492,1.64,6.895,0.2383,15.445
1191,117.32,75.52,42.92,36,30,59,0.917,48,5.6516934328533655,1.7088,4.904857480715417,2.86,2.556,0.2932,12.718
1192,64.68,38.54,91.68,24,22,32,0.978,24,14.581775395452523,0.6575,1.3740503405502515,2.19,2.3069,0.2486,9.093
1193,44.93,29.35,30.71,36,24,67,0.636,12,18.653731238495137,0.5138,0.17192071647189786,0.35,15.9286,0.1646,1.306
1194,68.62,50.27,26.37,36,30,65,0.676,24,11.133588057489483,0.8459,0.4436127710630293,0.52,9.6545,0.2257,2.114
1195,125.52,65.44,56.02,18,12,18,0.759,48,29.31705001950495,0.3251,8.388373897209881,25.93,0.059,0.475,23.621
1196,53.49,34.84,12.99,12,14,21,0.642,12,314.16185818352574,0.0302,0.07974803314919948,2.56,0.1616,0.1163,0.787
1197,89.52,45.01,112.97,24,22,5,0.583,24,64.27557826549928,0.1464,4.133275588888956,28.3,0.0343,0.1385,24.865
1198,109.67,77.12,138.58,9,6,38,0.982,48,9.34193978767657,1.0053,7.304838721713063,7.49,0.5286,0.65,30.967
1199,44.26,25.03,10.33,18,12,55,0.903,12,159.05013788776628,0.06,0.0746517034431002,1.22,0.8613,0.2653,0.506
1200,139.29,98.05,112.01,12,14,37,0.342,48,8.286394822908553,1.1498,9.431174705819435,8.06,0.5335,0.3974,40.298
1201,70.88,46.26,64.64,24,22,10,0.681,24,49.381384414953295,0.1971,1.398504342471656,7.08,0.1644,0.1677,6.852
1202,44.84,25.85,63.0,12,14,63,0.552,12,28.994363481728406,0.3303,0.23070086246166793,0.67,5.4127,0.2006,3.108
1203,148.75,89.92,49.45,36,24,59,0.746,48,4.0223798447706,2.3298,11.655528100285343,5.1,1.6591,0.4075,25.521
1204,36.48,24.74,52.91,24,20,27,0.562,12,49.49251919580481,0.1934,0.1289814220008508,0.64,3.8488,0.1341,1.398
1205,92.36,61.0,101.39,36,30,27,0.606,24,5.4685583768448005,1.7304,6.559796673959325,3.81,1.8521,0.2974,17.924
1206,71.3,39.64,85.33,9,6,53,0.795,24,21.749901318289048,0.4347,1.7036920222739598,3.85,0.8555,0.5006,11.014
1207,82.55,60.76,66.94,12,10,53,0.33,24,14.868642508795233,0.6473,1.0410575305305818,1.59,2.3299,0.3694,7.685
1208,122.99,68.86,121.13,36,30,15,0.58,48,7.279789842520239,1.2819,21.73637949709677,17.06,0.2736,0.3515,46.231
1209,58.15,32.37,77.29,36,24,12,0.548,12,38.801553221779656,0.2496,1.0263388937822786,4.06,0.578,0.1768,6.628
1210,35.6,23.76,43.59,36,24,48,0.792,12,20.268539638827328,0.4687,0.17872516977947378,0.38,14.0922,0.1797,1.127
1211,142.83,86.45,193.48,36,24,16,0.867,48,3.942919241685588,2.3996,33.161193848070766,13.96,0.5627,0.4198,91.925
1212,52.36,31.92,40.6,12,10,30,0.929,12,92.13878988264521,0.1054,0.26989016261458465,2.57,0.4807,0.2565,2.571
1213,119.26,78.0,72.13,36,24,56,0.513,48,3.4575378867194866,2.8356,6.766693397246479,2.35,4.6512,0.3371,21.576
1214,134.0,85.48,195.49,24,20,34,0.401,48,2.3626288428173488,3.9099,43.15451518355882,11.28,1.0186,0.4292,76.514
1215,39.71,20.74,17.11,24,22,35,0.49,12,155.8846468482779,0.0606,0.042502581001835286,0.73,1.5862,0.0477,0.721
1216,57.17,32.26,61.97,12,8,76,0.528,12,19.35431456297463,0.4987,0.6336313415472328,1.31,3.3831,0.3033,5.073
1217,107.29,74.88,88.14,36,30,40,0.776,48,4.274497447617069,2.2913,5.542094429280746,2.33,4.0039,0.306,19.126
1218,125.47,91.14,107.29,12,14,45,0.92,48,7.506047811177636,1.2902,7.9984382850116695,6.28,0.7927,0.4472,29.318
1219,127.91,69.75,128.74,24,20,51,0.694,48,3.233864862693143,3.0242,19.671503553209774,6.8,1.6943,0.3791,54.397
1220,62.97,46.27,65.43,36,30,7,0.442,24,47.35163275335038,0.2043,1.1181888623382141,5.25,0.2274,0.1569,4.387
1221,126.11,67.45,108.26,36,30,34,0.693,48,3.8074117433509835,2.4961,13.10955241742669,5.29,1.7983,0.2756,45.181
1222,138.73,71.12,107.39,18,16,19,0.917,48,15.00236026663135,0.6467,13.519649615589463,21.03,0.1343,0.3658,56.006
1223,35.74,18.77,37.05,24,22,6,0.581,12,462.8056078014591,0.0207,0.06475124603874792,3.03,0.1282,0.0265,1.26
1224,35.82,18.41,39.89,12,10,36,0.492,12,123.84159320053006,0.0783,0.1282915700732049,1.63,0.8194,0.2026,1.384
1225,100.69,51.76,84.92,36,24,22,0.993,48,10.544968977213093,0.8975,5.724643669004243,6.18,0.7804,0.2757,23.284
1226,102.23,70.44,35.57,24,20,18,0.458,48,32.965958183809036,0.2914,3.0702153178545464,10.2,0.1341,0.3173,7.177
1227,140.87,75.16,194.52,24,20,42,0.484,48,2.0998389043266594,4.4961,57.565553877669934,12.73,1.1006,0.3992,101.494
1228,142.76,80.8,138.33,9,6,20,0.887,48,17.506271433479014,0.5366,27.370946123749643,49.98,0.042,0.7196,70.429
1229,65.11,44.9,54.06,18,16,25,0.544,24,32.1958214100951,0.2967,0.9756384640051182,3.32,0.5821,0.3048,4.42
1230,78.84,40.76,25.05,18,16,41,0.94,24,48.993845636705316,0.1925,0.6877967923530532,3.56,0.4734,0.2026,4.193
1231,100.97,65.95,62.57,24,22,5,0.636,48,74.23625079728942,0.1264,3.6802096423158406,29.67,0.0199,0.1392,13.44
1232,117.24,84.57,48.59,12,10,66,0.546,48,11.236982484265209,0.8561,3.4841740515295445,4.1,0.9894,0.5519,11.776
1233,114.48,75.1,93.71,24,22,47,0.929,48,4.55003595109637,2.1149,11.50651373257749,5.42,1.4817,0.4296,25.715
1234,133.2,88.35,140.07,12,10,72,0.452,48,3.3653583964897393,2.7999,10.85864375540708,3.85,2.5502,0.4429,51.161
1235,80.06,58.03,82.54,36,24,20,0.782,24,11.754929238650528,0.8092,2.4463921158224484,3.16,1.3587,0.3039,9.23
1236,44.04,32.03,38.49,36,30,79,0.336,12,11.746583277339033,0.8209,0.19130929137651242,0.22,36.009,0.112,1.292
1237,139.87,93.99,203.98,12,8,11,0.814,48,15.463083521236875,0.6106,25.412132572227122,40.03,0.052,0.6083,80.441
1238,113.94,63.48,100.94,36,24,75,0.909,48,1.9811960502673531,4.796,15.039153537485383,3.14,6.2304,0.2846,33.219
1239,58.62,32.67,53.03,36,30,60,0.862,12,11.07529054495683,0.8761,0.590760488559111,0.69,11.8211,0.1092,4.617
1240,131.14,93.71,169.08,9,6,76,0.732,48,3.515303288288618,2.76,12.473689764473587,4.5,2.1435,0.52,52.295
1241,115.71,76.02,115.38,18,12,50,0.852,48,5.024621864301867,1.924,7.290523467129825,3.88,2.0544,0.4768,32.275
1242,53.1,32.66,74.76,12,14,30,0.525,12,40.594887463560866,0.2365,0.43709860761865754,1.87,1.1061,0.243,4.817
1243,79.31,48.89,79.16,12,14,37,0.303,24,23.487879554229398,0.4086,1.4286622556216149,3.47,0.8178,0.2803,11.346
1244,48.47,31.21,27.13,9,6,10,0.981,12,479.42446102315444,0.02,0.10674641574670761,5.57,0.0442,0.252,1.372
1245,145.66,73.7,133.88,24,22,54,0.958,48,3.073238279923132,3.1188,23.380593641412474,7.69,1.6522,0.3429,77.678
1246,114.24,80.44,84.69,12,10,80,0.671,48,5.255485407706316,1.8359,7.514245656505976,4.04,1.7745,0.5574,20.486
1247,65.93,43.13,88.57,18,16,74,0.811,24,7.139426181790086,1.324,0.9483696275150747,0.73,12.0821,0.2288,8.098
1248,39.9,27.25,37.18,36,30,22,0.431,12,47.14328063593732,0.2046,0.16818406052553467,0.82,2.5967,0.1194,1.162
1249,110.52,76.85,85.75,12,8,68,0.624,48,5.985012747221935,1.6031,5.699297037257232,3.65,1.6646,0.5954,19.886
1250,79.13,58.03,63.1,24,20,56,0.656,24,6.893785228607982,1.3751,1.413298446839161,1.07,6.152,0.3321,6.712
1251,84.87,46.51,52.25,24,20,21,0.359,24,29.67441370829785,0.3224,2.176740245241653,6.49,0.3126,0.2981,9.679
1252,43.38,25.3,48.85,24,20,34,0.46,12,36.83504505297619,0.2555,0.3335949146615092,1.35,2.1495,0.2022,2.229
1253,73.54,47.99,96.45,18,16,59,0.87,24,8.023975781381438,1.2137,2.5317210716333967,2.01,3.7947,0.327,11.009
1254,71.2,45.46,52.74,12,14,64,0.888,24,21.623579883831646,0.4445,1.0150433511129666,2.25,1.5512,0.3326,5.82
1255,79.67,53.49,111.65,9,6,71,0.473,24,9.781432520625156,0.9744,2.0427082007434794,2.05,2.8305,0.4475,14.31
1256,95.39,51.74,86.83,24,20,75,0.626,24,4.368174323270147,2.2004,4.7334221883581264,2.17,5.3026,0.2185,20.498
1257,147.45,87.55,50.81,24,20,18,0.548,48,19.132617608052485,0.5009,7.67534778795772,15.41,0.1227,0.2747,26.289
1258,65.95,33.23,90.67,18,12,58,0.341,24,11.86466074727224,0.8123,1.7707585381986606,2.26,3.0337,0.3396,10.814
1259,64.56,43.17,56.14,18,16,58,0.583,24,15.70783706541868,0.5976,0.6205934071847068,1.06,4.3438,0.2805,4.755
1260,43.96,22.79,19.64,24,20,24,0.649,12,143.23402214180146,0.067,0.0944767470350652,1.37,0.6594,0.0853,1.021
1261,79.47,52.85,36.24,24,22,51,0.519,24,16.95972833868649,0.559,0.8821560605621842,1.55,2.3819,0.2324,4.691
1262,78.0,53.34,17.36,12,8,75,0.875,24,41.53711285177173,0.2327,0.5154671086838539,2.12,0.9913,0.5022,2.067
1263,93.0,46.93,125.08,18,12,10,0.302,24,30.65527287600435,0.3062,5.9865855854016425,19.27,0.0849,0.396,29.639
1264,45.98,24.18,32.82,18,16,38,0.418,12,73.89225162699394,0.1268,0.1704514388700668,1.39,1.2631,0.1658,1.845
1265,54.17,27.11,52.9,12,10,30,0.309,12,61.750621438899465,0.1519,0.577371151740126,3.66,0.4077,0.3607,4.276
1266,51.61,36.93,72.35,36,24,32,0.859,12,12.233001141751243,0.7836,0.782461197073161,0.96,6.1683,0.1926,3.456
1267,68.67,35.62,25.91,12,8,51,0.7,24,66.3918814291269,0.1413,0.49261789343773255,3.34,0.4631,0.3985,3.282
1268,44.38,26.42,37.89,18,16,51,0.899,12,41.49584292582893,0.2281,0.17109531097667727,0.75,3.5976,0.2254,1.771
1269,92.04,62.34,136.93,9,6,77,0.516,24,5.692364800707796,1.671,3.6349469903273315,2.2,3.4732,0.3791,23.081
1270,103.79,72.32,147.19,24,20,34,0.651,48,4.574810175017273,2.0998,11.721667651316498,5.53,1.5777,0.3932,29.977
1271,73.21,36.64,30.73,12,8,73,0.757,24,34.20799422635256,0.2786,0.6194201226961872,2.22,1.1345,0.4117,4.537
1272,60.23,41.51,38.82,9,6,72,0.572,24,35.85436285557756,0.2693,0.4204893670178086,1.62,1.5344,0.5143,2.717
1273,128.77,89.26,157.53,24,20,32,0.458,48,3.152845702589139,2.9662,17.154535602156514,5.51,1.6124,0.4347,49.883
1274,46.45,32.38,40.95,36,30,28,0.534,12,27.78793292119032,0.3386,0.31067810816666086,0.96,3.1425,0.1801,1.669
1275,42.59,21.77,63.12,18,16,58,0.577,12,26.004520680503518,0.3702,0.2588140443261805,0.67,7.0877,0.1778,3.11
1276,30.49,21.15,24.58,9,6,10,0.885,12,886.6696681216179,0.0109,0.010039169818306768,0.94,0.2172,0.0596,0.436
1277,40.68,27.85,26.89,12,8,26,0.554,12,139.76492267274594,0.067,0.11795548645972974,1.75,0.4309,0.3382,0.869
1278,97.39,67.65,85.28,12,14,60,0.417,24,8.6286971111024,1.1292,5.007916638391558,4.56,1.1402,0.4178,15.388
1279,122.95,78.09,32.46,12,10,67,0.578,48,17.315820153032213,0.5455,3.899193104055859,6.91,0.4536,0.5786,10.758
1280,62.48,43.37,52.64,18,16,7,0.456,24,121.84223234151186,0.079,1.0375908982639688,13.2,0.0398,0.2156,3.912
1281,90.24,61.1,20.53,36,30,23,0.824,24,34.495523198471474,0.2718,1.1393204458845043,4.0,0.3784,0.2093,3.328
1282,139.42,71.53,31.22,36,24,45,0.473,48,10.884664419862666,0.8712,6.606992170935246,7.26,0.5851,0.3463,16.435
1283,42.49,25.77,32.3,24,22,44,0.545,12,43.634022396765545,0.2234,0.10813257461833815,0.5,5.1607,0.135,1.356
1284,106.43,53.33,27.74,12,14,26,0.979,48,84.14854434196306,0.1135,2.052464488983692,17.77,0.0533,0.2078,8.648
1285,58.21,39.53,70.04,24,20,8,0.424,12,66.53453370099834,0.1427,0.5812952975280105,4.17,0.2365,0.18,4.701
1286,81.24,46.21,79.53,12,14,48,0.804,24,17.031701634652045,0.5651,2.610937247916437,4.83,0.7582,0.3957,13.05
1287,43.69,28.96,60.54,24,20,18,0.307,12,46.14704723477139,0.2082,0.39110088831458406,1.92,0.9869,0.2219,2.381
1288,50.89,30.96,62.03,12,8,74,0.951,12,22.003534409498098,0.4272,0.4644109443308915,1.13,3.8092,0.3132,3.72
1289,83.55,55.88,32.02,18,16,45,0.468,24,27.446532405244238,0.3423,1.123329769836357,3.15,0.7627,0.3176,4.539
1290,91.51,49.99,40.38,24,22,35,0.959,24,21.904608873292855,0.4275,2.26628208096623,5.1,0.5372,0.2682,8.72
1291,102.99,52.61,67.46,12,10,45,0.611,48,17.71530417249623,0.5313,3.8397876842871907,7.56,0.4066,0.4402,19.438
1292,66.56,46.44,24.38,36,24,43,0.602,24,21.194941533704917,0.4537,0.3307239512892836,0.71,4.3245,0.1722,2.037
1294,140.41,88.07,202.42,18,12,17,0.723,48,6.292244001588707,1.5002,30.25063040795997,20.34,0.2241,0.5702,88.982
1295,96.1,64.75,119.47,18,16,67,0.574,24,4.069549412153699,2.3665,6.009388727183079,2.44,4.4298,0.2509,22.145
1296,57.43,41.5,18.38,24,20,43,0.804,12,46.25118323928715,0.2045,0.2538568661063194,1.24,1.4114,0.2723,1.064
1297,118.38,83.01,43.56,36,30,48,0.869,48,6.442085941631973,1.4977,5.7603505955052166,3.78,1.6177,0.3373,11.405
1298,84.5,61.37,46.26,9,6,56,0.853,24,25.853553091501627,0.3634,0.22281901057178002,0.61,4.0547,0.2969,5.737
1299,72.42,53.7,63.11,36,24,69,0.9,24,4.89835440279846,1.9641,1.7793204423532756,0.91,12.6875,0.2245,5.478
1300,124.17,91.73,112.07,12,8,52,0.431,48,5.985263719010915,1.5789,4.438672371140685,2.69,2.216,0.4929,28.852
1301,97.07,53.89,111.83,9,6,55,0.833,24,12.740179263634793,0.7339,3.360148294767242,4.49,1.0037,0.452,26.796
1302,56.54,34.23,40.62,12,10,5,0.765,12,476.86856659288,0.0199,0.39074507860550517,20.18,0.0104,0.2164,3.023
1303,78.57,48.15,94.27,24,20,17,0.413,24,18.203178406797296,0.525,3.7164906435037826,6.9,0.4059,0.3459,13.36
1304,41.6,24.2,46.66,18,16,12,0.45,12,129.2620116648313,0.0727,0.33700239398393833,4.7,0.1605,0.2497,1.963
1305,91.0,65.54,82.58,18,12,64,0.756,24,5.8261630454539155,1.6598,2.5188169320241136,1.48,5.0787,0.3625,12.096
1306,132.94,92.3,69.97,12,10,5,0.659,48,89.89229919051236,0.1075,10.7730116753936,100.03,0.004,0.4615,23.546
1307,103.82,67.71,23.8,12,14,35,0.935,48,50.99378212902747,0.1874,1.2507949677596115,6.8,0.1906,0.2708,5.417
1308,31.55,17.32,27.23,9,6,77,0.827,12,118.1077037799943,0.0798,0.04874496950711912,0.61,2.6638,0.301,0.696
1309,115.26,63.96,170.59,36,30,71,0.536,48,1.4166647158393586,6.7398,17.032560660441266,2.55,11.9769,0.147,57.649
1310,68.95,38.86,45.95,24,20,42,0.497,24,20.078215445956932,0.4712,0.8898053728027101,1.85,1.9121,0.2607,5.478
1311,39.87,29.18,38.0,12,10,63,0.731,12,42.73924470792263,0.2241,0.07360943525731474,0.34,7.0428,0.2738,1.03
1312,129.65,75.76,29.13,9,6,48,0.429,48,42.01408144041831,0.2241,1.7156674296613559,7.98,0.2261,0.4547,11.851
1313,122.42,73.22,68.35,36,30,30,0.335,48,6.421980954192327,1.4768,8.801689920971556,5.87,0.9446,0.305,24.182
1314,51.22,35.6,52.71,9,6,77,0.891,12,29.969971443340533,0.3183,0.2974304149490715,0.9,3.5423,0.3927,2.628
1315,55.9,39.69,32.58,36,30,57,0.622,12,15.593091520983005,0.62,0.4180726915959512,0.7,7.2198,0.1927,1.856
1316,121.88,69.21,169.1,36,30,59,0.771,48,1.4822267454181761,6.541,21.489412451910827,3.19,7.9129,0.2011,62.565
1317,75.06,51.93,101.62,12,14,50,0.349,24,11.384970667306893,0.8503,2.3187145838443866,2.79,1.7134,0.3788,10.974
1318,97.56,57.05,103.82,24,20,69,0.803,24,3.7777887045762184,2.4922,6.525202154094563,2.55,4.9433,0.2098,23.899
1319,33.33,18.24,26.39,9,6,13,0.987,12,776.7159183791092,0.0121,0.04703479735763696,4.02,0.0673,0.1457,0.755
1320,39.74,28.43,16.71,18,16,19,0.846,12,273.26050408435515,0.0347,0.031872490551431175,0.94,0.5602,0.0728,0.473
1321,87.56,63.01,111.01,12,10,70,0.933,24,7.092422101381854,1.361,1.9191347754752381,1.42,5.219,0.3209,15.081
1322,86.51,62.24,38.4,18,12,54,0.839,24,14.299710704782386,0.6766,1.1163052685189416,1.59,2.1349,0.4478,5.095
1323,135.88,81.72,64.93,24,22,65,0.997,48,4.535642813831159,2.0863,11.340699207903,5.66,1.4505,0.3991,28.123
1324,119.24,84.34,139.14,12,10,24,0.538,48,10.885046635593289,0.8955,7.210747358901127,7.68,0.4204,0.4679,36.343
1325,32.94,18.93,15.49,12,10,74,0.661,12,126.7589480939594,0.0742,0.030999399938405635,0.4,3.2223,0.1669,0.414
1326,46.92,25.11,64.24,12,8,32,0.688,12,60.75992889597658,0.1542,0.3252446670997357,2.22,0.8423,0.3134,3.709
1327,38.76,23.39,45.6,12,10,80,0.597,12,37.427597860238855,0.2571,0.0948806662559152,0.37,9.36,0.2067,1.602
1328,99.03,68.94,111.0,12,10,57,0.926,24,6.695270337918457,1.3998,5.460557413245719,3.76,1.634,0.4233,20.619
1329,139.88,91.81,162.99,12,14,39,0.646,48,5.600084886343122,1.7497,16.435798025486203,9.24,0.6567,0.4194,66.719
1330,111.27,80.57,86.96,24,22,70,0.98,48,3.365594992786829,2.8517,8.11952393894012,2.87,3.9399,0.3782,18.826
1331,71.65,48.35,24.6,18,16,34,0.933,24,51.28781144395415,0.1838,0.4251066259104218,2.31,0.6252,0.2469,2.528
1332,123.48,71.76,58.31,24,20,78,0.941,48,4.6885272712460155,2.0241,7.204698352226085,3.67,2.4041,0.3774,21.644
1333,127.48,69.65,169.16,24,22,14,0.877,48,9.331634482472815,1.0227,22.035823928093834,22.04,0.185,0.3344,70.881
1334,46.5,23.53,17.31,36,30,63,0.319,12,39.83295996722629,0.2444,0.11770400693226413,0.5,6.0724,0.1237,1.023
1335,90.63,58.1,85.7,12,8,17,0.698,24,35.634930594891586,0.2704,2.2913691314702183,8.62,0.1666,0.4365,15.242
1336,109.03,56.9,99.79,12,10,56,0.875,48,11.15602885987606,0.8573,7.680384000255959,8.6,0.6221,0.4839,31.729
1337,96.41,53.69,125.99,9,6,77,0.772,24,8.63975920263112,1.0957,5.481260920756144,4.97,1.3994,0.4129,29.693
1338,126.6,67.08,102.74,24,22,39,0.905,48,6.115820512115265,1.5297,11.59342068009636,7.73,0.9258,0.3218,43.535
1339,31.25,23.16,40.66,24,20,46,0.623,12,35.71485978074866,0.2699,0.06084727955593286,0.22,15.2725,0.1665,0.659
1340,137.11,84.39,97.05,12,10,75,0.943,48,5.097887652229757,1.8236,9.909422243258295,5.72,1.3189,0.4786,41.655
1341,77.42,56.1,77.13,18,16,59,0.391,24,8.4850465420921,1.1354,1.6140170802644835,1.42,4.4951,0.3493,8.07
1342,137.23,86.79,115.48,18,12,67,0.546,48,3.0841491637265146,3.1006,18.272188216922657,5.94,1.8334,0.4533,47.963
